o,e
"{""shipName"":Hanari Carnes,""orderID"":10886}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Santé Gourmet,""orderID"":10387}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Save-a-lot Markets,""orderID"":10894}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Seven Seas Imports,""orderID"":10800}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Tortuga Restaurante,""orderID"":10304}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Tradiçao Hipermercados,""orderID"":10292}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Bon app',""orderID"":10340}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Wilman Kala,""orderID"":10910}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Eastern Connection,""orderID"":10400}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":HILARION-Abastos,""orderID"":10976}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Ernst Handel,""orderID"":10968}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Alfred's Futterkiste,""orderID"":10835}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Rattlesnake Canyon Grocery,""orderID"":10316}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Rattlesnake Canyon Grocery,""orderID"":10314}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Ricardo Adocicados,""orderID"":10813}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Let's Stop N Shop,""orderID"":10579}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Victuailles en stock,""orderID"":10546}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Magazzini Alimentari Riuniti,""orderID"":10950}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Magazzini Alimentari Riuniti,""orderID"":10275}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":GROSELLA-Restaurante,""orderID"":10785}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Seven Seas Imports,""orderID"":10377}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Save-a-lot Markets,""orderID"":10612}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Tortuga Restaurante,""orderID"":10293}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":HILARION-Abastos,""orderID"":10486}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":QUICK-Stop,""orderID"":10285}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Frankenversand,""orderID"":10653}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Ricardo Adocicados,""orderID"":10877}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Du monde entier,""orderID"":10311}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":QUICK-Stop,""orderID"":10361}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
